ID,run,proportion_NA
Uts_13_0y_0107,20190208R,0.08522727272727272
Uts_13_0y_0108,20190208R,0.125
Uts_13_0y_0109,20190208R,0.19318181818181818
Uts_13_0y_0110,20190208R,0.07954545454545454
Uts_13_0y_0111,20190208R,0.18181818181818182
Uts_13_0y_0114,20190208R,0.14772727272727273
Uts_13_0y_0115,20190208R,0.9943181818181818
Uts_13_0y_0119,20190208R,0.3409090909090909
Uts_13_0y_0121,20190208R,0.11363636363636363
Uts_13_0y_0123,20190208R,1.0
Uts_13_0y_0125,20190208R,0.3522727272727273
Uts_13_0y_0126,20190208R,0.07386363636363637
Uts_13_0y_0131,20190208R,0.9943181818181818
Uts_13_0y_0132,20190208R,0.9943181818181818
Uts_13_0y_0134,20190208R,0.10795454545454546
Uts_13_0y_0139,20190208R,1.0
Uts_13_0y_0141,20190208R,0.9943181818181818
Uts_13_0y_0143,20190208R,0.9943181818181818
Uts_13_0y_0144,20190208R,0.7670454545454546
Uts_13_0y_0146,20190208R,0.1534090909090909
Uts_13_0y_0147,20190208R,0.16477272727272727
Uts_13_0y_0148,20190208R,0.09659090909090909
Uts_13_0y_0149,20190208R,0.05113636363636364
Uts_13_0y_0150,20190208R,0.05113636363636364
Uts_13_0y_0151,20190208R,0.07386363636363637
Uts_13_0y_0152,20190208R,1.0
Uts_13_0y_0153,20190208R,0.09659090909090909
Uts_13_0y_0155,20190208R,0.10795454545454546
Uts_13_0y_0156,20190208R,0.9943181818181818
Uts_13_0y_0157,20190208R,0.9943181818181818
Uts_13_0y_0158,20190208R,0.19318181818181818
Uts_13_0y_0160,20190208R,0.9943181818181818
Uts_13_0y_0162,20190208R,0.14204545454545456
Uts_13_0y_0163,20190208R,0.23295454545454544
Uts_13_0y_0164,20190208R,0.11931818181818182
Uts_13_0y_0165,20190208R,0.1875
Uts_13_0y_0167,20190208R,1.0
Uts_13_0y_0168,20190208R,0.11931818181818182
Uts_13_0y_0171,20190208R,0.056818181818181816
Uts_13_0y_0172,20190208R,0.06818181818181818
Uts_13_0y_0178,20190208R,0.23863636363636365
Uts_13_0y_0179,20190208R,0.2840909090909091
Uts_13_0y_0180,20190208R,0.6647727272727273
Uts_13_0y_0182,20190208R,0.1590909090909091
Uts_13_0y_0184,20190208R,0.056818181818181816
Uts_13_0y_0186,20190208R,0.056818181818181816
Uts_13_0y_0187,20190208R,0.35795454545454547
Uts_13_0y_0188,20190208R,0.07954545454545454
Uts_13_0y_0190,20190208R,0.06818181818181818
Uts_13_0y_0191,20190208R,0.18181818181818182
Uts_13_0y_0199,20190619N,0.14772727272727273
Uts_13_0y_0299,20190619N,1.0
Uts_13_0y_0307,20190619N,1.0
Uts_13_0y_0312,20190619N,0.11931818181818182
Uts_13_0y_0315,20190619N,0.9943181818181818
Uts_13_0y_0316,20190619N,0.9602272727272727
Uts_13_0y_0317,20190619N,0.5454545454545454
Uts_13_0y_0318,20190619N,0.9545454545454546
Uts_13_0y_0325,20190619N,0.2215909090909091
Uts_13_0y_0332,20190619N,0.07386363636363637
Uts_13_0y_0339,20190619N,0.9602272727272727
Uts_13_0y_0355,20190619N,0.05113636363636364
