id,offspring_year,offspring_age_class,n_offspring,parent_type,parent_year,parent_age_class
Uts_13_0y_0443,15,0y,1,dam,13,0y
Uts_13_0y_0680,15,0y,1,dam,13,0y
Uts_13_0y_0697,15,0y,2,dam,13,0y
Uts_14A_063,15,0y,1,dam,14,A
Uts_14A_063,16,1y,4,dam,14,A
Uts_14A_063,18,2-3y,1,dam,14,A
Uts_13_1y_0079,15,1y,1,dam,13,1y
Uts_13_1y_0079,16,0y,1,dam,13,1y
Uts_13_1y_0586,15,1y,1,dam,13,1y
Uts_15A_026,16,0y,105,dam,15,A
Uts_15A_026,17,1y,14,dam,15,A
Uts_15A_026,18,1y,1,dam,15,A
Uts_15A_026,18,2-3y,5,dam,15,A
Uts_15A_078,16,0y,18,dam,15,A
Uts_15A_078,17,1y,7,dam,15,A
Uts_15A_078,18,0y,31,dam,15,A
Uts_15A_078,18,2-3y,2,dam,15,A
Uts_15A_078,19,1y,1,dam,15,A
Uts_15A_078,19,2-3y,2,dam,15,A
Uts_17A_002,16,0y,65,dam,17,A
Uts_17A_002,17,1y,14,dam,17,A
Uts_17A_002,17,2y,1,dam,17,A
Uts_17A_002,18,0y,31,dam,17,A
Uts_17A_002,18,1y,2,dam,17,A
Uts_17A_002,18,2-3y,6,dam,17,A
Uts_17A_002,19,1y,4,dam,17,A
Uts_17A_002,19,2-3y,1,dam,17,A
Uts_15A_010,16,0y,90,dam,15,A
Uts_15A_010,17,1y,17,dam,15,A
Uts_15A_010,18,1y,1,dam,15,A
Uts_15A_010,18,2-3y,5,dam,15,A
Uts_15A_011,16,0y,19,dam,15,A
Uts_15A_011,17,1y,8,dam,15,A
Uts_15A_011,18,0y,8,dam,15,A
Uts_15A_011,18,2-3y,2,dam,15,A
Uts_15A_011,19,1y,2,dam,15,A
Uts_15A_030,16,0y,52,dam,15,A
Uts_15A_030,16,1y,2,dam,15,A
Uts_15A_030,17,1y,5,dam,15,A
Uts_15A_030,18,2-3y,2,dam,15,A
Uts_17A_096,16,0y,47,dam,17,A
Uts_17A_096,17,1y,7,dam,17,A
Uts_17A_096,18,0y,17,dam,17,A
Uts_17A_096,18,2-3y,1,dam,17,A
Uts_17A_096,19,1y,3,dam,17,A
Uts_17A_096,19,2-3y,2,dam,17,A
Uts_15A_055,16,0y,23,dam,15,A
Uts_15A_055,17,1y,4,dam,15,A
Uts_12_0y_385,16,0y,1,dam,12,0y
Uts_17A_075,16,0y,63,dam,17,A
Uts_17A_075,17,1y,14,dam,17,A
Uts_17A_075,18,0y,17,dam,17,A
Uts_17A_075,18,1y,1,dam,17,A
Uts_17A_075,18,2-3y,2,dam,17,A
Uts_17A_075,19,1y,2,dam,17,A
Uts_15A_077,16,0y,4,dam,15,A
Uts_15A_077,17,1y,3,dam,15,A
Uts_15A_077,18,2-3y,1,dam,15,A
Uts_14_0y_1564,16,0y,1,dam,14,0y
Uts_15A_067,16,0y,4,dam,15,A
Uts_15A_067,17,1y,1,dam,15,A
Uts_15A_067,18,2-3y,1,dam,15,A
Uts_17A_078,16,0y,30,dam,17,A
Uts_17A_078,17,1y,11,dam,17,A
Uts_17A_078,18,0y,48,dam,17,A
Uts_17A_078,18,1y,1,dam,17,A
Uts_17A_078,18,2-3y,1,dam,17,A
Uts_17A_078,19,1y,5,dam,17,A
Uts_17A_078,19,2-3y,1,dam,17,A
Uts_15A_054,16,0y,5,dam,15,A
Uts_13_0y_0671,16,0y,1,dam,13,0y
Uts_14_0y_0915,16,0y,1,dam,14,0y
Uts_12_0y_745,16,0y,1,dam,12,0y
Uts_12_0y_027,16,0y,1,dam,12,0y
Uts_17_2y_2915,16,0y,1,dam,17,2y
Uts_15_1y_0054,16,1y,1,dam,15,1y
Uts_16A_048,17,0y,17,dam,16,A
Uts_16A_048,18,1y,6,dam,16,A
Uts_16A_048,19,0y,4,dam,16,A
Uts_16A_048,19,2-3y,1,dam,16,A
Uts_16A_108,17,0y,38,dam,16,A
Uts_16A_108,18,1y,10,dam,16,A
Uts_16A_108,19,2-3y,2,dam,16,A
Uts_16A_091,17,0y,17,dam,16,A
Uts_16A_091,18,0y,1,dam,16,A
Uts_16A_091,18,1y,5,dam,16,A
Uts_16A_091,19,2-3y,4,dam,16,A
Uts_16A_036,17,0y,10,dam,16,A
Uts_16A_036,18,1y,3,dam,16,A
Uts_16A_036,19,2-3y,3,dam,16,A
Uts_16A_037,17,0y,30,dam,16,A
Uts_16A_037,18,1y,14,dam,16,A
Uts_16A_037,19,1y,1,dam,16,A
Uts_16A_037,19,2-3y,6,dam,16,A
Uts_16A_050,17,0y,117,dam,16,A
Uts_16A_050,18,1y,29,dam,16,A
Uts_16A_050,19,0y,86,dam,16,A
Uts_16A_050,19,2-3y,13,dam,16,A
Uts_16A_102,17,0y,33,dam,16,A
Uts_16A_102,18,1y,9,dam,16,A
Uts_16A_102,19,2-3y,1,dam,16,A
Uts_16A_096,17,0y,110,dam,16,A
Uts_16A_096,18,1y,16,dam,16,A
Uts_16A_096,19,0y,46,dam,16,A
Uts_16A_096,19,2-3y,9,dam,16,A
Uts_16A_064,17,0y,11,dam,16,A
Uts_16A_064,18,1y,4,dam,16,A
Uts_16A_112,17,0y,5,dam,16,A
Uts_16A_112,18,1y,7,dam,16,A
Uts_16A_112,19,2-3y,1,dam,16,A
Uts_14_2y_0089,17,0y,2,dam,14,2y
Uts_12_0y_216,17,0y,1,dam,12,0y
Uts_16A_105,17,0y,25,dam,16,A
Uts_16A_105,18,1y,4,dam,16,A
Uts_16A_105,19,2-3y,3,dam,16,A
Uts_16A_115,17,0y,15,dam,16,A
Uts_16A_115,18,1y,3,dam,16,A
Uts_15_0y_0779,17,0y,1,dam,15,0y
Uts_17_2y_1781,17,0y,1,dam,17,2y
Uts_15_0y_0805,17,0y,1,dam,15,0y
Uts_15_0y_0763,17,0y,2,dam,15,0y
Uts_15_0y_0857,17,0y,2,dam,15,0y
Uts_16_0y_1599,17,0y,1,dam,16,0y
Uts_13_0y_0350,17,0y,1,dam,13,0y
Uts_13_1y_0873,17,0y,1,dam,13,1y
Uts_16A_043,17,0y,1,dam,16,A
Uts_16A_043,18,1y,2,dam,16,A
Uts_16A_043,19,1y,1,dam,16,A
Uts_15_0y_1003,17,0y,1,dam,15,0y
Uts_15_0y_1196,17,0y,1,dam,15,0y
Uts_15_0y_1121,17,0y,1,dam,15,0y
Uts_15_0y_1572,17,1y,1,dam,15,0y
Uts_13_0y_0751,17,2y,1,dam,13,0y
Uts_17A_073,18,0y,6,dam,17,A
Uts_17A_073,19,2-3y,1,dam,17,A
Uts_17A_066,18,0y,70,dam,17,A
Uts_17A_066,19,1y,14,dam,17,A
Uts_17A_077,18,0y,12,dam,17,A
Uts_17A_077,19,1y,2,dam,17,A
Uts_17A_077,19,2-3y,1,dam,17,A
Uts_17A_056,18,0y,23,dam,17,A
Uts_17A_056,19,1y,1,dam,17,A
Uts_17A_007,18,0y,49,dam,17,A
Uts_17A_007,19,1y,6,dam,17,A
Uts_17A_031,18,0y,11,dam,17,A
Uts_17A_031,19,1y,1,dam,17,A
Uts_17A_098,18,0y,48,dam,17,A
Uts_17A_098,19,1y,12,dam,17,A
Uts_17A_098,19,2-3y,1,dam,17,A
Uts_15_0y_0421,18,0y,1,dam,15,0y
Uts_17A_046,18,0y,6,dam,17,A
Uts_17A_046,19,1y,1,dam,17,A
Uts_17A_026,18,0y,20,dam,17,A
Uts_17A_026,19,1y,5,dam,17,A
Uts_17A_010,18,0y,29,dam,17,A
Uts_17A_010,19,1y,1,dam,17,A
Uts_17A_005,18,0y,37,dam,17,A
Uts_17A_005,19,1y,6,dam,17,A
Uts_17A_074,18,0y,14,dam,17,A
Uts_17A_074,19,1y,1,dam,17,A
Uts_17A_072,18,0y,5,dam,17,A
Uts_17A_018,18,0y,1,dam,17,A
Uts_17A_018,19,1y,2,dam,17,A
Uts_17_1y_1677,18,0y,1,dam,17,1y
Uts_17_1y_2438,18,0y,1,dam,17,1y
Uts_16_0y_2153,18,0y,1,dam,16,0y
Uts_13_1y_0758,18,0y,1,dam,13,1y
Uts_16_0y_0166,18,0y,1,dam,16,0y
Uts_15_0y_1030,18,1y,1,dam,15,0y
Uts_15_0y_0305,18,1y,1,dam,15,0y
Uts_15_0y_1377,18,1y,1,dam,15,0y
Uts_15_0y_1812,18,1y,1,dam,15,0y
Uts_16A_077,18,1y,1,dam,16,A
Uts_16A_077,19,2-3y,1,dam,16,A
