id,dam,sire,birth_year,gender
UTS_16A_099,gp*73,gp#67,1,male
Uts_11_15,gp*175,gp#12,1,male
Uts45,gp*181,gp#67,1,male
Uts_11_53,gp*13,gp#186,1,female
Uts_11_40,gp*181,gp#186,1,male
Uts_14A_052,gp*134,gp#120,1,male
UTS_15A_018,gp*17,gp#160,1,male
UTS_16A_016,gp*17,gp#18,1,male
Uts_11_18,gp*178,gp#12,1,male
Uts_13A_045,gp*187,gp#160,1,female
UTS_15A_021,gp*187,gp#197,1,female
Uts_13A_027,gp*105,gp#102,1,male
Uts_14A_102,gp*105,gp#112,1,male
UTS_16A_012,gp*14,gp#14,1,male
Uts_14A_062,gp*14,gp#112,1,female
Uts_13A_042,gp*14,gp#65,1,male
UTS_16A_097,gp*72,gp#65,1,male
Uts_13A_003,gp*94,gp#65,1,male
Uts_14A_023,gp*127,gp#75,1,male
Uts_14A_040,gp*62,gp#15,1,male
UTS_16A_075,gp*62,gp#57,1,male
Uts_14A_058,gp*62,gp#57,1,male
UTS_16A_013,gp*15,gp#15,1,male
Uts47,gp*183,gp#128,1,male
Uts_14A_026,gp*82,gp#15,1,male
Uts_14A_070,gp*82,gp#15,1,male
UTS_16A_114,gp*82,gp#75,1,male
Uts_14A_020,gp*82,gp#128,1,male
UTS_16A_081,gp*19,gp#59,1,male
Uts_13A_044,gp*48,gp#181,1,female
Uts_11_29,gp*19,gp#200,1,female
UTS_16A_018,gp*19,gp#20,1,male
UTS_16A_055,gp*48,gp#20,1,male
Uts_13A_024,gp*48,gp#20,1,male
UTS_17A_096,gp*185,gp#20,1,female
Uts_13A_002,gp*48,gp#90,1,male
Uts_13A_010,gp*48,gp#90,1,male
Uts44,gp*182,gp#28,1,male
UTS_16A_027,gp*28,gp#28,1,male
Uts38,gp*28,gp#20,1,male
Uts_13A_030,gp*107,gp#90,1,male
Uts50,gp*184,gp#181,1,male
Uts_13A_066,gp*190,gp#28,1,female
Uts_11_21,gp*174,gp#181,1,male
Uts_11_42,gp*174,gp#28,1,male
Uts_11_09,gp*174,gp#177,1,male
UTS_16A_019,gp*20,gp#21,1,male
Uts_11_24,gp*20,gp#182,1,male
Uts22,gp*20,gp#68,1,female
Uts_13A_043,gp*110,gp#21,1,male
UTS_16A_100,gp*74,gp#68,1,male
UTS_16A_038,gp*37,gp#21,1,male
Uts16,gp*176,gp#180,1,male
Uts_12A_030,gp*176,gp#68,1,female
Uts_12A_014,gp*83,gp#77,1,male
Uts_14A_088,gp*83,gp#85,1,male
UTS_15A_059,gp*83,gp#170,1,male
UTS_15A_055,gp*192,gp#104,1,female
Uts_12A_032,gp*33,gp#85,1,male
UTS_16A_032,gp*33,gp#24,1,male
Uts_14A_053,gp*33,gp#104,1,male
Uts_13A_031,gp*108,gp#104,1,male
Uts_14A_027,gp*23,gp#85,1,male
UTS_16A_022,gp*23,gp#24,1,male
UTS_16A_023,gp*24,gp#25,1,male
Uts_14A_050,gp*24,gp#150,1,female
UTS_16A_111,gp*80,gp#49,1,male
Uts_14A_024,gp*80,gp#176,1,female
UTS_16A_040,gp*39,gp#35,1,male
Uts_13A_057,gp*39,gp#150,1,male
Uts_11_05,gp*173,gp#175,1,male
Uts_11_08,gp*173,gp#176,1,male
UTS_16A_089,gp*53,gp#25,1,male
UTS_16A_063,gp*53,gp#49,1,male
Uts_13A_062,gp*53,gp#150,1,male
UTS_15A_039,gp*120,gp#35,1,male
UTS_15A_003,gp*120,gp#156,1,male
Uts_14A_008,gp*120,gp#121,1,male
Uts43,gp*179,gp#187,1,male
Uts_13A_058,gp*179,gp#187,1,female
Uts20,gp*179,gp#176,1,male
Uts_11_27,gp*179,gp#176,1,male
UTS_15A_062,gp*126,gp#61,1,female
UTS_15A_078,gp*126,gp#199,1,female
Uts_14A_021,gp*126,gp#129,1,male
Uts_14A_086,gp*126,gp#147,1,male
Uts_12A_028,gp*75,gp#83,1,male
UTS_16A_101,gp*75,gp#69,1,male
UTS_15A_029,gp*75,gp#69,1,male
Uts_14A_060,gp*97,gp#129,1,male
Uts_13A_007,gp*97,gp#69,1,male
Uts_13A_017,gp*97,gp#30,1,male
Uts_12A_020,gp*75,gp#79,1,male
UTS_15A_077,gp*160,gp#155,1,female
UTS_15A_034,gp*160,gp#129,1,male
Uts_14A_010,gp*121,gp#123,1,male
UTS_15A_002,gp*121,gp#30,1,male
UTS_15A_011,gp*59,gp#69,1,female
Uts_14A_032,gp*59,gp#132,1,male
UTS_16A_072,gp*59,gp#55,1,male
Uts_14A_080,gp*100,gp#99,1,male
Uts_13A_018,gp*100,gp#97,1,male
Uts_13A_040,gp*100,gp#79,1,male
Uts_14A_081,gp*31,gp#99,1,male
UTS_16A_030,gp*31,gp#30,1,male
UTS_16A_087,gp*51,gp#61,1,male
UTS_16A_059,gp*51,gp#45,1,male
Uts_13A_029,gp*51,gp#45,1,male
UTS_15A_001,gp*102,gp#155,1,male
Uts_13A_021,gp*102,gp#99,1,male
UTS_15A_044,gp*102,gp#97,1,male
UTS_16A_035,gp*36,gp#33,1,male
UTS_16A_080,gp*65,gp#33,1,male
UTS_15A_053,gp*65,gp#33,1,male
UTS_16A_057,gp*49,gp#33,1,male
UTS_16A_078,gp*49,gp#33,1,male
UTS_16A_093,gp*49,gp#33,1,male
