OffspID,Dam,Sire,DamOrigin,SireOrigin,DamNatalPop,SireNatalPop
Uts_14_0y_0804,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0805,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0806,Uts_13A_033,Uts_13A_023,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0807,usF2013,Uts_13A_016,NA,local,NA,TenoMainstem
Uts_14_0y_0808,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0809,usF2013,Uts_13A_043,NA,local,NA,TenoMainstem
Uts_14_0y_0810,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0812,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0813,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0814,Uts_13A_065,Uts_13A_043,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0815,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0816,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0817,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0818,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0819,usF2013,Uts_13A_043,NA,local,NA,TenoMainstem
Uts_14_0y_0820,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0821,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0822,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0823,usF2013,Uts_13A_013,NA,local,NA,TenoMainstem
Uts_14_0y_0824,usF2013,Uts_13A_016,NA,local,NA,TenoMainstem
Uts_14_0y_0825,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0826,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0827,usF2013,Uts_13A_056,NA,local,NA,TenoMainstem
Uts_14_0y_0828,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0829,usF2013,Uts_13A_013,NA,local,NA,TenoMainstem
Uts_14_0y_0830,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0831,usF2013,Uts_13A_056,NA,local,NA,TenoMainstem
Uts_14_0y_0832,Uts_13A_065,Uts_13A_043,local,local,TenoMainstem,TenoMainstem
