ID,run,proportion_NA
Uts_13_0y_0163,20190208R,0.23295454545454544
Uts_13_0y_0167,20190208R,1.0
Uts_13_0y_0178,20190208R,0.23863636363636365
Uts_13_0y_0179,20190208R,0.2840909090909091
Uts_13_0y_0180,20190208R,0.6647727272727273
Uts_13_0y_0187,20190208R,0.35795454545454547
Uts_13_0y_0299,20190619N,1.0
Uts_13_0y_0307,20190619N,1.0
Uts_13_0y_0315,20190619N,0.9943181818181818
Uts_13_0y_0316,20190619N,0.9602272727272727
Uts_13_0y_0317,20190619N,0.5454545454545454
Uts_13_0y_0318,20190619N,0.9545454545454546
Uts_13_0y_0325,20190619N,0.2215909090909091
Uts_13_0y_0339,20190619N,0.9602272727272727
Uts_13_0y_0480,20191203N,0.9943181818181818
Uts_13_0y_0482,20191203N,0.2784090909090909
Uts_13_0y_0524,20191203N,0.24431818181818182
Uts_13_0y_0553,20191203N,0.2840909090909091
Uts_13_0y_0646,20191203N,1.0
Uts_13_1y_0007,20191203N,1.0
Uts_13_1y_0446,20191203N,0.6590909090909091
Uts_13_1y_0447,20191203N,0.24431818181818182
Uts_13_1y_0491,20191203N,0.3068181818181818
Uts_13_1y_0509,20191203N,0.26704545454545453
Uts_13_1y_0511,20191203N,0.4034090909090909
Uts_13_1y_0515,20191203N,0.26704545454545453
Uts_13_1y_0531,20191203N,0.2556818181818182
Uts_13_1y_0543,20191203N,0.23863636363636365
Uts_13_1y_0557,20191203N,0.32954545454545453
Uts_13_1y_0796,20200117N,0.9545454545454546
Uts_13_1y_0864,20200117N,1.0
Uts_14_0y_0119,20200117N,0.9943181818181818
Uts_14_0y_0123,20200117N,1.0
Uts_14_0y_0124,20200117N,0.9943181818181818
Uts_14_0y_0125,20200117N,1.0
Uts_14_0y_0126,20200117N,1.0
Uts_14_0y_0238,20200117N,0.32386363636363635
Uts_14_0y_0254,20200117N,0.2784090909090909
Uts_14_0y_0329,20200117N,1.0
Uts_14_0y_0490,20200117N,1.0
Uts_14_0y_0635,20200117N,1.0
Uts_14_0y_0757,20200117N,1.0
Uts_14_0y_0857,20200117N,1.0
Uts_14_0y_0858,20200117N,0.8409090909090909
Uts_14_0y_1585,20200117N,1.0
Uts_14_1y_0382,20200117N,1.0
Uts_14_1y_0395,20200117N,0.2840909090909091
Uts_15_0y_0019,20200219N,0.5397727272727273
Uts_15_0y_0029,20200219N,0.3465909090909091
Uts_15_0y_0293,20200219N,0.4602272727272727
Uts_15_0y_0494,20200219N,0.3693181818181818
Uts_15_0y_0495,20200219N,0.3352272727272727
Uts_15_0y_0511,20200219N,0.29545454545454547
Uts_15_0y_0524,20200219N,0.30113636363636365
Uts_15_0y_0527,20200219N,0.48295454545454547
Uts_15_0y_0541,20200219N,0.3352272727272727
Uts_15_0y_0542,20200219N,0.26704545454545453
Uts_15_0y_0543,20200219N,0.7215909090909091
Uts_15_0y_0548,20200219N,0.5284090909090909
Uts_15_0y_0558,20200219N,0.3125
Uts_15_0y_0559,20200219N,0.20454545454545456
Uts_15_0y_0564,20200219N,0.22727272727272727
Uts_15_0y_0565,20200219N,0.3125
Uts_15_0y_0569,20200219N,0.4375
Uts_15_0y_0575,20200219N,0.7556818181818182
Uts_15_0y_0601,20200219N,0.9943181818181818
Uts_15_0y_0606,20200219N,0.3125
Uts_15_0y_0610,20200219N,0.26704545454545453
Uts_15_0y_0614,20200219N,0.22727272727272727
Uts_15_0y_0629,20200219N,0.6079545454545454
Uts_15_0y_0633,20200219N,0.9886363636363636
Uts_15_0y_0635,20200219N,0.4659090909090909
Uts_15_0y_0637,20200219N,0.25
Uts_15_0y_0639,20200219N,0.5227272727272727
Uts_15_0y_0835,20200219N,0.9943181818181818
Uts_15_0y_0878,20200219N,0.36363636363636365
Uts_15_0y_0879,20200219N,0.2556818181818182
Uts_15_0y_0883,20200219N,0.3409090909090909
Uts_15_0y_0886,20200219N,0.2159090909090909
Uts_15_0y_0888,20200219N,0.2215909090909091
Uts_15_0y_0892,20200219N,0.7045454545454546
Uts_15_0y_0902,20200219N,0.20454545454545456
Uts_15_0y_0908,20200219N,0.4318181818181818
Uts_15_0y_0909,20200219N,0.5738636363636364
Uts_15_0y_0915,20200219N,0.6022727272727273
Uts_15_0y_0917,20200219N,0.2727272727272727
Uts_15_0y_0918,20200219N,0.2556818181818182
Uts_15_0y_0922,20200219N,0.5170454545454546
Uts_15_0y_0923,20200219N,0.3125
Uts_15_0y_0925,20200219N,0.35795454545454547
Uts_15_0y_0927,20200219N,0.35795454545454547
Uts_15_0y_0930,20200219N,0.2784090909090909
Uts_15_0y_0932,20200219N,0.39204545454545453
Uts_15_0y_0934,20200219N,0.4715909090909091
Uts_15_0y_0936,20200219N,0.5397727272727273
Uts_15_0y_0940,20200219N,0.6306818181818182
Uts_15_0y_0941,20200219N,0.39204545454545453
Uts_15_0y_0943,20200219N,0.5738636363636364
Uts_15_0y_0948,20200219N,0.3806818181818182
Uts_15_0y_0950,20200219N,0.26136363636363635
Uts_15_0y_0951,20200219N,0.30113636363636365
Uts_15_0y_0959,20200219N,0.23295454545454544
Uts_15_0y_0965,20200219N,0.2215909090909091
Uts_15_0y_0967,20200219N,1.0
Uts_15_0y_0970,20200219N,0.35795454545454547
Uts_15_0y_0971,20200219N,0.2159090909090909
Uts_15_0y_0983,20200219N,0.2159090909090909
Uts_15_0y_0988,20200219N,0.35795454545454547
Uts_15_0y_0997,20200219N,0.5284090909090909
Uts_15_0y_1028,20200219N,0.4375
Uts_15_0y_1043,20200219N,0.4602272727272727
Uts_15_0y_1045,20200219N,0.20454545454545456
Uts_15_0y_1061,20200219N,0.6420454545454546
Uts_15_0y_1064,20200219N,0.2215909090909091
Uts_15_0y_1069,20200219N,0.5852272727272727
Uts_15_0y_1075,20200219N,0.20454545454545456
Uts_15_0y_1076,20200219N,0.7272727272727273
Uts_15_0y_1083,20200219N,0.3465909090909091
Uts_15_0y_1084,20200219N,0.6193181818181818
Uts_15_0y_1086,20200219N,0.2897727272727273
Uts_15_0y_1087,20200219N,0.3068181818181818
Uts_15_0y_1092,20200219N,0.3977272727272727
Uts_15_0y_1093,20200219N,0.5738636363636364
Uts_15_0y_1099,20200219N,0.2784090909090909
Uts_15_0y_1100,20200219N,0.3522727272727273
Uts_15_0y_1101,20200219N,0.4375
Uts_15_0y_1106,20200219N,0.5909090909090909
Uts_15_0y_1107,20200219N,0.4034090909090909
Uts_15_0y_1108,20200219N,0.5511363636363636
Uts_15_0y_1109,20200219N,0.6477272727272727
Uts_15_0y_1119,20200219N,0.21022727272727273
Uts_15_0y_1126,20200219N,1.0
Uts_15_0y_1129,20200219N,0.4034090909090909
Uts_15_0y_1132,20200219N,0.2556818181818182
Uts_15_0y_1134,20200219N,0.2727272727272727
Uts_15_0y_1135,20200219N,0.75
Uts_15_0y_1136,20200219N,0.45454545454545453
Uts_15_0y_1138,20200219N,0.2215909090909091
Uts_15_0y_1143,20200219N,0.2727272727272727
Uts_15_0y_1148,20200219N,0.3181818181818182
Uts_15_0y_1176,20200219N,0.36363636363636365
Uts_15_0y_1188,20200219N,0.3693181818181818
Uts_15_0y_1194,20200219N,0.20454545454545456
Uts_15_0y_1195,20200219N,0.20454545454545456
Uts_15_0y_1197,20200219N,0.5284090909090909
Uts_15_0y_1210,20200219N,0.2784090909090909
Uts_15_0y_1217,20200219N,0.32386363636363635
Uts_15_0y_1221,20200219N,0.3693181818181818
Uts_15_0y_1222,20200219N,0.4943181818181818
Uts_15_0y_1230,20200219N,0.3352272727272727
Uts_15_0y_1231,20200219N,0.6420454545454546
Uts_15_0y_1235,20200219N,0.25
Uts_15_0y_1252,20200219N,0.24431818181818182
Uts_15_0y_1270,20200219N,0.2727272727272727
Uts_15_0y_1277,20200219N,0.20454545454545456
Uts_15_0y_1278,20200219N,0.7386363636363636
Uts_15_0y_1286,20200219N,0.45454545454545453
Uts_15_0y_1294,20200219N,0.5454545454545454
Uts_15_0y_1300,20200219N,0.9204545454545454
Uts_15_0y_1302,20200219N,0.6193181818181818
Uts_15_0y_1303,20200219N,0.2840909090909091
Uts_15_0y_1325,20200219N,0.21022727272727273
Uts_15_0y_1326,20200219N,0.4318181818181818
Uts_15_0y_1334,20200219N,0.3977272727272727
Uts_15_0y_1373,20200219N,0.3806818181818182
Uts_15_0y_1374,20200219N,0.4147727272727273
Uts_15_0y_1375,20200219N,0.48863636363636365
Uts_15_0y_1381,20200219N,0.45454545454545453
Uts_15_0y_1390,20200219N,0.6477272727272727
Uts_15_0y_1397,20200219N,0.44886363636363635
Uts_15_0y_1404,20200219N,0.22727272727272727
Uts_15_0y_1410,20200219N,0.32954545454545453
Uts_15_0y_1422,20200219N,0.5113636363636364
Uts_15_0y_1430,20200219N,0.4715909090909091
Uts_15_0y_1436,20200219N,0.20454545454545456
Uts_15_0y_1499,20200219N,0.9943181818181818
Uts_15_0y_1557,20200219N,1.0
Uts_15_0y_1568,20200219N,0.9943181818181818
Uts_15_0y_1571,20200219N,0.9943181818181818
Uts_15_0y_1697,20200219N,1.0
Uts_15_0y_1722,20200219N,0.75
Uts_15_0y_1779,20200219N,1.0
Uts_15_0y_1780,20200219N,1.0
Uts_15_0y_1861,20200219N,1.0
Uts_15_0y_1893,20200219N,0.4659090909090909
Uts_15_1y_0098,20200219N,1.0
Uts_15_1y_0104,20200219N,1.0
Uts_15_1y_0112,20200219N,1.0
Uts_15_1y_0120,20200219N,1.0
Uts_15_1y_0152,20200219N,1.0
Uts_15_1y_0184,20200219N,1.0
Uts_15_1y_0224,20200219N,0.20454545454545456
Uts_15_1y_0484,20190619N,1.0
Uts_15_2y_0009,20190619N,1.0
Uts_16_0y_0132,20190619N,0.4772727272727273
Uts_16_0y_0135,20190619N,0.8181818181818182
Uts_16_0y_0139,20190619N,0.8977272727272727
Uts_16_0y_0172,20190619N,0.3352272727272727
Uts_16_0y_0179,20190619N,1.0
Uts_16_0y_0196,20190619N,0.23295454545454544
