id,dam,sire,birth_year,gender
*715,NA,NA,1,unknown
*192,NA,NA,1,unknown
UTS_16A_081,NA,NA,1,male
*207,NA,NA,1,unknown
*76,NA,NA,1,unknown
*434,NA,NA,1,unknown
*444,NA,NA,1,unknown
*618,NA,NA,1,unknown
*11,NA,NA,1,unknown
*324,NA,NA,1,unknown
*323,NA,NA,1,unknown
*85,NA,NA,1,unknown
*708,NA,NA,1,unknown
*262,NA,NA,1,unknown
*320,NA,NA,1,unknown
UTS_16A_022,NA,NA,1,male
UTS_16A_087,NA,NA,1,male
*615,NA,NA,1,unknown
*418,NA,NA,1,unknown
*439,NA,NA,1,unknown
UTS_16A_056,NA,NA,1,male
#217,NA,NA,1,unknown
*325,NA,NA,1,unknown
UTS_16A_061,NA,NA,1,male
*435,NA,NA,1,unknown
*602,NA,NA,1,unknown
#333,NA,NA,1,unknown
*19,NA,NA,1,unknown
*609,NA,NA,1,unknown
*156,NA,NA,1,unknown
*202,NA,NA,1,unknown
*88,NA,NA,1,unknown
*78,NA,NA,1,unknown
*447,NA,NA,1,unknown
*124,NA,NA,1,unknown
*339,NA,NA,1,unknown
*34,NA,NA,1,unknown
#34,NA,NA,1,unknown
*42,NA,NA,1,unknown
*484,NA,NA,1,unknown
*422,NA,NA,1,unknown
*608,NA,NA,1,unknown
*436,NA,NA,1,unknown
*400,NA,NA,1,unknown
*20,NA,NA,1,unknown
*611,NA,NA,1,unknown
UTS_16A_073,NA,NA,1,male
#218,NA,NA,1,unknown
*311,NA,NA,1,unknown
*195,NA,NA,1,unknown
UTS_16A_004,NA,NA,1,male
*77,NA,NA,1,unknown
*205,NA,NA,1,unknown
*316,NA,NA,1,unknown
*335,NA,NA,1,unknown
*331,NA,NA,1,unknown
*155,NA,NA,1,unknown
*427,NA,NA,1,unknown
*605,NA,NA,1,unknown
*234,NA,NA,1,unknown
UTS_16A_107,NA,NA,1,male
*310,NA,NA,1,unknown
UTS_16A_031,NA,NA,1,male
*441,NA,NA,1,unknown
*622,NA,NA,1,unknown
*717,NA,NA,1,unknown
*309,NA,NA,1,unknown
*175,NA,NA,1,unknown
*318,NA,NA,1,unknown
*242,NA,NA,1,unknown
*388,NA,NA,1,unknown
*24,NA,NA,1,unknown
*672,NA,NA,1,unknown
*649,NA,NA,1,unknown
*603,NA,NA,1,unknown
*304,NA,NA,1,unknown
#114,NA,NA,1,unknown
*659,NA,NA,1,unknown
#76,NA,NA,1,unknown
*673,NA,NA,1,unknown
#111,NA,NA,1,unknown
Uts_12A_023,NA,NA,1,male
Uts_12A_030,NA,NA,1,female
*481,NA,NA,1,unknown
#210,NA,NA,1,unknown
*238,NA,NA,1,unknown
Uts_14A_024,NA,NA,1,female
*305,NA,NA,1,unknown
#109,NA,NA,1,unknown
#98,NA,NA,1,unknown
#100,NA,NA,1,unknown
#60,NA,NA,1,unknown
*424,NA,NA,1,unknown
UTS_16A_036,NA,NA,1,female
*700,NA,NA,1,unknown
*664,NA,NA,1,unknown
Uts_14A_108,NA,NA,1,female
*653,NA,NA,1,unknown
Uts_14A_012,NA,NA,1,male
Uts_14A_073,NA,NA,1,male
#105,NA,NA,1,unknown
*483,NA,NA,1,unknown
*443,NA,NA,1,unknown
Uts_14A_091,NA,NA,1,male
*134,NA,NA,1,unknown
*707,NA,NA,1,unknown
#412,NA,NA,1,unknown
*676,NA,NA,1,unknown
#175,NA,NA,1,unknown
*688,NA,NA,1,unknown
Uts_12A_035,NA,NA,1,male
#329,NA,NA,1,unknown
Uts_13A_023,NA,NA,1,male
#19,NA,NA,1,unknown
*656,NA,NA,1,unknown
*645,NA,NA,1,unknown
*389,NA,NA,1,unknown
#149,NA,NA,1,unknown
*695,NA,NA,1,unknown
*302,NA,NA,1,unknown
#186,NA,NA,1,unknown
Uts_14A_041,NA,NA,1,male
*235,NA,NA,1,unknown
#172,NA,NA,1,unknown
Uts_14A_096,NA,NA,1,male
*621,NA,NA,1,unknown
Uts_12A_004,NA,NA,1,female
Uts_14A_072,NA,NA,1,male
*705,NA,NA,1,unknown
*383,NA,NA,1,unknown
Uts_12A_011,NA,NA,1,male
*112,NA,NA,1,unknown
*671,NA,NA,1,unknown
Uts_14A_088,NA,NA,1,male
#286,NA,NA,1,unknown
Uts_14A_065,NA,NA,1,male
Uts_12A_005,NA,NA,1,male
Uts_14A_097,NA,NA,1,male
#363,NA,NA,1,unknown
*127,NA,NA,1,unknown
*730,NA,NA,1,unknown
*190,NA,NA,1,unknown
#68,NA,NA,1,unknown
Uts_14A_067,NA,NA,1,male
Uts_14A_106,NA,NA,1,male
Uts_14A_066,NA,NA,1,female
*722,NA,NA,1,unknown
#104,NA,NA,1,unknown
*600,NA,NA,1,unknown
*114,NA,NA,1,unknown
*692,NA,NA,1,unknown
*620,NA,NA,1,unknown
*438,NA,NA,1,unknown
#334,NA,NA,1,unknown
Uts_14A_060,NA,NA,1,male
*301,NA,NA,1,unknown
#280,NA,NA,1,unknown
*690,NA,NA,1,unknown
Uts_12A_006,NA,NA,1,male
*726,NA,NA,1,unknown
Uts_12A_033,NA,NA,1,male
*689,NA,NA,1,unknown
*307,NA,NA,1,unknown
*123,NA,NA,1,unknown
*121,NA,NA,1,unknown
*120,NA,NA,1,unknown
*16,NA,NA,1,unknown
*648,NA,NA,1,unknown
UTS_16A_109,NA,NA,1,male
*654,NA,NA,1,unknown
*371,NA,NA,1,unknown
Uts_13A_056,NA,NA,1,male
*614,NA,NA,1,unknown
#415,NA,NA,1,unknown
Uts_12A_036,NA,NA,1,male
*702,NA,NA,1,unknown
*693,NA,NA,1,unknown
Uts_14A_089,NA,NA,1,male
*398,NA,NA,1,unknown
*165,NA,NA,1,unknown
*725,NA,NA,1,unknown
*667,NA,NA,1,unknown
Uts_14A_030,NA,NA,1,male
Uts_12A_022,NA,NA,1,male
*807,NA,NA,1,unknown
*644,NA,NA,1,unknown
Uts_12A_009,NA,NA,1,male
*610,NA,NA,1,unknown
Uts_14A_046,NA,NA,1,male
*668,NA,NA,1,unknown
Uts_14A_099,NA,NA,1,male
*607,NA,NA,1,unknown
Uts_12A_018,NA,NA,1,female
*731,NA,NA,1,unknown
*686,NA,NA,1,unknown
*704,NA,NA,1,unknown
*662,NA,NA,1,unknown
*646,NA,NA,1,unknown
*691,NA,NA,1,unknown
Uts_14A_085,NA,NA,1,male
Uts_14A_033,NA,NA,1,male
*666,NA,NA,1,unknown
*259,NA,NA,1,unknown
#438,NA,NA,1,unknown
*617,NA,NA,1,unknown
*612,NA,NA,1,unknown
#335,NA,NA,1,unknown
*606,NA,NA,1,unknown
*665,NA,NA,1,unknown
*629,NA,NA,1,unknown
#367,NA,NA,1,unknown
#265,NA,NA,1,unknown
*658,NA,NA,1,unknown
#444,NA,NA,1,unknown
#343,NA,NA,1,unknown
*35,NA,NA,1,unknown
#28,NA,NA,1,unknown
*453,NA,NA,1,unknown
#355,NA,NA,1,unknown
*756,NA,NA,1,unknown
#336,NA,NA,1,unknown
*796,NA,NA,1,unknown
#213,NA,NA,1,unknown
*804,NA,NA,1,unknown
*809,NA,NA,1,unknown
#32,NA,NA,1,unknown
*812,NA,NA,1,unknown
*314,NA,NA,1,unknown
*604,NA,NA,1,unknown
Uts_12A_019,NA,NA,1,female
*795,NA,NA,1,unknown
*619,NA,NA,1,unknown
*811,NA,NA,1,unknown
UTS_16A_110,NA,NA,1,male
*625,NA,NA,1,unknown
UTS_15A_066,NA,NA,1,female
*266,NA,NA,1,unknown
#41,NA,NA,1,unknown
#191,NA,NA,1,unknown
#200,NA,NA,1,unknown
Uts22,NA,NA,1,female
#54,NA,NA,1,unknown
UTS_15A_030,NA,NA,1,female
#48,NA,NA,1,unknown
*358,NA,NA,1,unknown
UTS_15A_055,NA,NA,1,female
*357,NA,NA,1,unknown
UTS_15A_024,NA,NA,1,male
#55,NA,NA,1,unknown
*553,NA,NA,1,unknown
#167,NA,NA,1,unknown
*406,NA,NA,1,unknown
#73,NA,NA,1,unknown
UTS_15A_020,NA,NA,1,male
#81,NA,NA,1,unknown
#199,NA,NA,1,unknown
#53,NA,NA,1,unknown
*507,NA,NA,1,unknown
UTS_15A_009,NA,NA,1,male
*278,NA,NA,1,unknown
*367,NA,NA,1,unknown
UTS_15A_073,NA,NA,1,male
UTS_15A_010,NA,NA,1,female
UTS_15A_022,NA,NA,1,male
*51,NA,NA,1,unknown
*292,NA,NA,1,unknown
*522,NA,NA,1,unknown
*267,NA,NA,1,unknown
*636,NA,NA,1,unknown
#77,NA,NA,1,unknown
#339,NA,NA,1,unknown
*751,NA,NA,1,unknown
*633,NA,NA,1,unknown
*590,NA,NA,1,unknown
#36,NA,NA,1,unknown
*624,NA,NA,1,unknown
*290,NA,NA,1,unknown
*817,NA,NA,1,unknown
*252,NA,NA,1,unknown
*598,NA,NA,1,unknown
UTS_15A_070,NA,NA,1,male
#318,NA,NA,1,unknown
*363,NA,NA,1,unknown
*628,NA,NA,1,unknown
*249,NA,NA,1,unknown
UTS_15A_076,NA,NA,1,male
*634,NA,NA,1,unknown
*593,NA,NA,1,unknown
*519,NA,NA,1,unknown
UTS_15A_026,NA,NA,1,female
UTS_15A_013,NA,NA,1,male
*284,NA,NA,1,unknown
#341,NA,NA,1,unknown
*567,NA,NA,1,unknown
*549,NA,NA,1,unknown
#447,NA,NA,1,unknown
UTS_15A_032,NA,NA,1,male
*763,NA,NA,1,unknown
*274,NA,NA,1,unknown
*55,NA,NA,1,unknown
#45,NA,NA,1,unknown
*60,NA,NA,1,unknown
*641,NA,NA,1,unknown
*784,NA,NA,1,unknown
*257,NA,NA,1,unknown
*548,NA,NA,1,unknown
*738,NA,NA,1,unknown
*551,NA,NA,1,unknown
*498,NA,NA,1,unknown
UTS_15A_006,NA,NA,1,male
*630,NA,NA,1,unknown
UTS_15A_064,NA,NA,1,male
*97,NA,NA,1,unknown
*777,NA,NA,1,unknown
*592,NA,NA,1,unknown
#436,NA,NA,1,unknown
*69,NA,NA,1,unknown
*92,NA,NA,1,unknown
#298,NA,NA,1,unknown
UTS_15A_049,NA,NA,1,male
*525,NA,NA,1,unknown
*582,NA,NA,1,unknown
*513,NA,NA,1,unknown
*552,NA,NA,1,unknown
UTS_15A_042,NA,NA,1,male
*538,NA,NA,1,unknown
*221,NA,NA,1,unknown
*754,NA,NA,1,unknown
*66,NA,NA,1,unknown
UTS_15A_028,NA,NA,1,male
*571,NA,NA,1,unknown
*54,NA,NA,1,unknown
*627,NA,NA,1,unknown
*63,NA,NA,1,unknown
*643,NA,NA,1,unknown
*589,NA,NA,1,unknown
*276,NA,NA,1,unknown
*631,NA,NA,1,unknown
Uts_13A_026,NA,NA,1,male
*521,NA,NA,1,unknown
*626,NA,NA,1,unknown
*264,NA,NA,1,unknown
*585,NA,NA,1,unknown
*575,NA,NA,1,unknown
*402,NA,NA,1,unknown
*47,NA,NA,1,unknown
*353,NA,NA,1,unknown
*586,NA,NA,1,unknown
*109,NA,NA,1,unknown
*578,NA,NA,1,unknown
*584,NA,NA,1,unknown
*514,NA,NA,1,unknown
UTS_15A_079,NA,NA,1,male
UTS_15A_016,NA,NA,1,male
UTS_15A_014,NA,NA,1,male
*561,NA,NA,1,unknown
*107,NA,NA,1,unknown
#94,NA,NA,1,unknown
#89,NA,NA,1,unknown
*635,NA,NA,1,unknown
#182,NA,NA,1,unknown
*346,NA,NA,1,unknown
#83,NA,NA,1,unknown
*416,NA,NA,1,unknown
#197,NA,NA,1,unknown
*509,NA,NA,1,unknown
*217,NA,NA,1,unknown
#157,NA,NA,1,unknown
UTS_15A_017,NA,NA,1,male
#37,NA,NA,1,unknown
#51,NA,NA,1,unknown
#40,NA,NA,1,unknown
#97,NA,NA,1,unknown
UTS_15A_004,NA,NA,1,male
#276,NA,NA,1,unknown
*342,NA,NA,1,unknown
#79,NA,NA,1,unknown
#314,NA,NA,1,unknown
UTS_15A_008,NA,NA,1,male
*468,NA,NA,1,unknown
*186,NA,NA,1,unknown
#93,NA,NA,1,unknown
UTS_15A_029,NA,NA,1,male
#293,NA,NA,1,unknown
#90,NA,NA,1,unknown
*106,NA,NA,1,unknown
*349,NA,NA,1,unknown
*558,NA,NA,1,unknown
*67,NA,NA,1,unknown
#39,NA,NA,1,unknown
#251,NA,NA,1,unknown
*528,NA,NA,1,unknown
*253,NA,NA,1,unknown
*554,NA,NA,1,unknown
#162,NA,NA,1,unknown
UTS_15A_033,NA,NA,1,male
*520,NA,NA,1,unknown
#74,NA,NA,1,unknown
*409,NA,NA,1,unknown
*258,NA,NA,1,unknown
*501,NA,NA,1,unknown
*638,NA,NA,1,unknown
*591,NA,NA,1,unknown
*347,NA,NA,1,unknown
*533,NA,NA,1,unknown
*566,NA,NA,1,unknown
*70,NA,NA,1,unknown
*64,NA,NA,1,unknown
#128,NA,NA,1,unknown
*279,NA,NA,1,unknown
UTS_15A_011,NA,NA,1,female
*408,NA,NA,1,unknown
*535,NA,NA,1,unknown
*769,NA,NA,1,unknown
*559,NA,NA,1,unknown
#224,NA,NA,1,unknown
*50,NA,NA,1,unknown
*550,NA,NA,1,unknown
UTS_15A_052,NA,NA,1,male
*102,NA,NA,1,unknown
*246,NA,NA,1,unknown
*524,NA,NA,1,unknown
UTS_15A_038,NA,NA,1,male
*355,NA,NA,1,unknown
*281,NA,NA,1,unknown
*534,NA,NA,1,unknown
*539,NA,NA,1,unknown
UTS_15A_071,NA,NA,1,male
*541,NA,NA,1,unknown
*248,NA,NA,1,unknown
*555,NA,NA,1,unknown
*268,NA,NA,1,unknown
*412,NA,NA,1,unknown
UTS_15A_056,NA,NA,1,male
*277,NA,NA,1,unknown
*599,NA,NA,1,unknown
*463,NA,NA,1,unknown
*594,NA,NA,1,unknown
*297,NA,NA,1,unknown
*545,NA,NA,1,unknown
*410,NA,NA,1,unknown
*94,NA,NA,1,unknown
*456,NA,NA,1,unknown
*640,NA,NA,1,unknown
*565,NA,NA,1,unknown
*499,NA,NA,1,unknown
*49,NA,NA,1,unknown
*563,NA,NA,1,unknown
*497,NA,NA,1,unknown
*299,NA,NA,1,unknown
#297,NA,NA,1,unknown
#228,NA,NA,1,unknown
#315,NA,NA,1,unknown
*506,NA,NA,1,unknown
*93,NA,NA,1,unknown
*495,NA,NA,1,unknown
*270,NA,NA,1,unknown
*577,NA,NA,1,unknown
*515,NA,NA,1,unknown
*362,NA,NA,1,unknown
*500,NA,NA,1,unknown
#271,NA,NA,1,unknown
*265,NA,NA,1,unknown
#192,NA,NA,1,unknown
#278,NA,NA,1,unknown
*581,NA,NA,1,unknown
#205,NA,NA,1,unknown
#183,NA,NA,1,unknown
*737,NA,NA,1,unknown
#168,NA,NA,1,unknown
#434,NA,NA,1,unknown
*306,NA,NA,1,unknown
#211,NA,NA,1,unknown
*206,NA,NA,1,unknown
#151,NA,NA,1,unknown
#268,NA,NA,1,unknown
*560,NA,NA,1,unknown
#166,NA,NA,1,unknown
#194,NA,NA,1,unknown
*295,NA,NA,1,unknown
*52,NA,NA,1,unknown
#42,NA,NA,1,unknown
#43,NA,NA,1,unknown
UTS_15A_046,NA,NA,1,male
#44,NA,NA,1,unknown
*227,NA,NA,1,unknown
*48,NA,NA,1,unknown
#316,NA,NA,1,unknown
#38,NA,NA,1,unknown
*504,NA,NA,1,unknown
#362,NA,NA,1,unknown
*470,NA,NA,1,unknown
*503,NA,NA,1,unknown
*502,NA,NA,1,unknown
*341,NA,NA,1,unknown
#393,NA,NA,1,unknown
Uts28,NA,NA,1,female
#332,NA,NA,1,unknown
*474,NA,NA,1,unknown
#424,NA,NA,1,unknown
*458,NA,NA,1,unknown
*803,NA,NA,1,unknown
*789,NA,NA,1,unknown
*733,NA,NA,1,unknown
*228,NA,NA,1,unknown
#139,NA,NA,1,unknown
*472,NA,NA,1,unknown
*494,NA,NA,1,unknown
*794,NA,NA,1,unknown
*53,NA,NA,1,unknown
*255,NA,NA,1,unknown
*193,NA,NA,1,unknown
*245,NA,NA,1,unknown
#119,NA,NA,1,unknown
#178,NA,NA,1,unknown
*224,NA,NA,1,unknown
#154,NA,NA,1,unknown
#134,NA,NA,1,unknown
#137,NA,NA,1,unknown
#87,NA,NA,1,unknown
#56,NA,NA,1,unknown
*564,NA,NA,1,unknown
*818,NA,NA,1,unknown
*359,NA,NA,1,unknown
*58,NA,NA,1,unknown
#47,NA,NA,1,unknown
UTS_15A_067,NA,NA,1,female
#201,NA,NA,1,unknown
#184,NA,NA,1,unknown
*537,NA,NA,1,unknown
*286,NA,NA,1,unknown
#221,NA,NA,1,unknown
#227,NA,NA,1,unknown
*95,NA,NA,1,unknown
UTS_17A_096,NA,NA,1,female
#181,NA,NA,1,unknown
#131,NA,NA,1,unknown
*351,NA,NA,1,unknown
UTS_15A_050,NA,NA,1,male
UTS_15A_061,NA,NA,1,male
#253,NA,NA,1,unknown
*569,NA,NA,1,unknown
*71,NA,NA,1,unknown
#82,NA,NA,1,unknown
*516,NA,NA,1,unknown
UTS_15A_048,NA,NA,1,male
*639,NA,NA,1,unknown
*493,NA,NA,1,unknown
UTS_15A_023,NA,NA,1,male
*271,NA,NA,1,unknown
UTS_15A_035,NA,NA,1,male
*544,NA,NA,1,unknown
*212,NA,NA,1,unknown
*732,NA,NA,1,unknown
#350,NA,NA,1,unknown
*344,NA,NA,1,unknown
*632,NA,NA,1,unknown
*209,NA,NA,1,unknown
*348,NA,NA,1,unknown
*188,NA,NA,1,unknown
*189,NA,NA,1,unknown
*542,NA,NA,1,unknown
*543,NA,NA,1,unknown
UTS_15A_078,NA,NA,1,female
