         OffspringID             FatherID             MotherID    CloneIndex  ClusterIndex
         UTS_16A_089                gp*53                gp#25            85            17
         UTS_16A_063                gp*53                gp#49            61            17
         Uts_13A_062                gp*53               gp#150           242            17
         UTS_15A_039               gp*120                gp#35           294            17
         UTS_15A_003               gp*120               gp#156           263            17
         Uts_14A_008               gp*120               gp#121           177            17
               Uts43               gp*179               gp#187           365            17
         Uts_13A_058               gp*179               gp#187           410            17
               Uts20               gp*179               gp#176           347            17
               Uts27               gp*179               gp#176           353            17
           Uts_11_27               gp*179               gp#176           353            17
         UTS_15A_062               gp*126                gp#61           423            18
         UTS_15A_078               gp*126               gp#199           427            18
         Uts_14A_021               gp*126               gp#129           188            18
         Uts_14A_086               gp*126               gp#147           230            18
         Uts_12A_028                gp*75                gp#83           115            18
         UTS_16A_101                gp*75                gp#69            95            18
         UTS_15A_029                gp*75                gp#69           285            18
         Uts_14A_060                gp*97               gp#129           212            18
         Uts_13A_007                gp*97                gp#69           128            18
         Uts_13A_017                gp*97                gp#30           137            18
         Uts_12A_020                gp*75                gp#79           109            18
         UTS_15A_077               gp*160               gp#155           426            18
         UTS_15A_034               gp*160               gp#129           289            18
         Uts_14A_010               gp*121               gp#123           179            18
         UTS_15A_002               gp*121                gp#30           262            18
         UTS_15A_011                gp*59                gp#69           416            18
         Uts_14A_032                gp*59               gp#132           196            18
         UTS_16A_072                gp*59                gp#55            69            18
         Uts_14A_080               gp*100                gp#99           225            18
         Uts_13A_018               gp*100                gp#97           138            18
         Uts_13A_040               gp*100                gp#79           155            18
         Uts_14A_081                gp*31                gp#99           226            18
         UTS_16A_030                gp*31                gp#30            33            18
         UTS_16A_087                gp*51                gp#61            83            18
         UTS_16A_059                gp*51                gp#45            57            18
         Uts_13A_029                gp*51                gp#45           147            18
         UTS_15A_001               gp*102               gp#155           261            18
         Uts_13A_021               gp*102                gp#99           140            18
         UTS_15A_044               gp*102                gp#97           298            18
         UTS_16A_035                gp*36                gp#33            38            19
         UTS_16A_080                gp*65                gp#33            76            19
         UTS_15A_053                gp*65                gp#33           307            19
         UTS_16A_057                gp*49                gp#33            55            19
         UTS_16A_078                gp*49                gp#33            74            19
         UTS_16A_093                gp*49                gp#33            88            19
         UTS_15A_050               gp*117                gp#33           304            19
         Uts_14A_110               gp*117               gp#116           170            19
         UTS_16A_113                gp*81                gp#74           103            20
         UTS_16A_048                gp*81               gp#162           381            20
         Uts_14A_105                gp*81               gp#114           167            20
         UTS_15A_024               gp*156               gp#162           281            20
         UTS_15A_052               gp*156               gp#162           306            20
         UTS_16A_105               gp*156                gp#93           388            20
         UTS_15A_014               gp*103                gp#74           272            20
         Uts_13A_025               gp*103                gp#34           143            20
         Uts_14A_057               gp*135               gp#114           210            20
         UTS_16A_039                gp*38                gp#34            40            20
         Uts_13A_011                gp*38                gp#93           132            20
         UTS_15A_033               gp*159                gp#74           288            20
         UTS_15A_058               gp*159                gp#74           310            20
         UTS_15A_045               gp*159               gp#162           299            20
         UTS_15A_070                gp*56               gp#108           318            21
         UTS_16A_067                gp*56                gp#51            64            21
         Uts_12A_017                gp*41                gp#60           108            21
         UTS_16A_042                gp*41                gp#36            43            21
               Uts19                gp*41                gp#36           346            21
         Uts_14A_009               gp*113               gp#122           178            21
         Uts_14A_099               gp*113                gp#36           162            21
         UTS_16A_107                gp*78                gp#72            99            21
         Uts_13A_039               gp*146               gp#195           401            21
         Uts_12A_006               gp*146                gp#51           249            21
         UTS_16A_083                gp*67                gp#60            79            21
         UTS_16A_084                gp*67                gp#60            80            21
         Uts_13A_038                gp*67               gp#108           154            21
         Uts_13A_032                gp*67                gp#72           150            21
         UTS_16A_045                gp*43                gp#38            45            22
         UTS_16A_085                gp*57                gp#38            81            22
         UTS_16A_069                gp*57                gp#37            66            22
         UTS_16A_044                gp*42                gp#37            44            22
         UTS_15A_073               gp*170                gp#80           321            22
         Uts_14A_091               gp*137               gp#148           235            22
         Uts_13A_033               gp*137               gp#194           399            22
               Uts30               gp*137               gp#184           354            22
           Uts_11_30               gp*137               gp#184           354            22
         Uts_14A_067               gp*137               gp#142           217            22
         UTS_16A_103                gp*76                gp#38            96            22
         Uts_12A_022                gp*76                gp#80           110            22
               Uts23                gp*76               gp#142           349            22
               Uts32                gp*76               gp#142           356            22
         UTS_15A_066                gp*76               gp#198           424            22
         UTS_15A_027                gp*69               gp#148           283            22
         UTS_16A_088                gp*69                gp#62            84            22
         Uts_14A_084                gp*69                gp#62           228            22
         Uts_14A_059               gp*136               gp#140           211            23
               Uts04               gp*139               gp#168           331            23
         Uts_14A_072               gp*139                gp#50           220            23
         Uts_14A_104               gp*114               gp#113           166            23
         UTS_16A_058                gp*50                gp#44            56            23
         Uts_13A_004                gp*54               gp#113           397            23
         UTS_16A_065                gp*54                gp#50            62            23
         UTS_16A_112                gp*54                gp#44           390            23
               Uts35                gp*54               gp#140           359            23
         UTS_15A_048               gp*152               gp#168           302            23
         UTS_15A_004               gp*152                gp#44           264            23
         UTS_15A_038               gp*163               gp#134           293            24
               Uts02               gp*163               gp#173           329            24
         Uts_14A_064               gp*131               gp#141           215            24
         Uts_14A_041               gp*131               gp#134           201            24
         Uts_13A_037               gp*131               gp#173           400            24
         UTS_15A_006               gp*131               gp#158           266            24
         UTS_16A_036               gp*131               gp#158           378            24
         Uts_14A_096                gp*58               gp#141           237            24
         UTS_16A_070                gp*58                gp#53            67            24
         Uts_12A_010               gp*148               gp#124           253            25
         Uts_12A_013               gp*150               gp#124           256            25
         Uts_13A_012               gp*144               gp#193           398            25
         Uts_13A_064               gp*144               gp#145           244            25
         UTS_16A_076                gp*63                gp#58            73            25
         Uts_14A_012                gp*63               gp#124           180            25
         UTS_15A_040                gp*95               gp#193           420            25
         Uts_14A_078                gp*95               gp#145           224            25
         Uts_13A_035                gp*95               gp#106           152            25
         Uts_13A_008                gp*95                gp#92           129            25
         Uts_13A_005                gp*95                gp#58           126            25
         Uts_13A_034                gp*95               gp#105           151            25
         UTS_16A_104                gp*77                gp#70            97            26
               Uts14                gp*77               gp#179           341            26
               Uts31               gp*180               gp#185           355            26
           Uts_11_31               gp*180               gp#185           355            26
               Uts26               gp*180               gp#179           352            26
           Uts_11_26               gp*180               gp#179           352            26
         Uts_14A_097               gp*111               gp#111           160            26
               Uts39               gp*111                gp#70           432            26
           Uts_11_39               gp*111                gp#70           432            26
         Uts_12A_015                gp*84                gp#78           107            27
         Uts_12A_023                gp*84                gp#78           111            27
         Uts_14A_066               gp*189               gp#192           409            27
         UTS_15A_030               gp*189                gp#78           419            27
         Uts_12A_027               gp*161               gp#192           395            27
         UTS_15A_035               gp*161                gp#78           290            27
         Uts_14A_028               gp*128               gp#107           193            28
         Uts_12A_036                gp*92                gp#88           122            28
               Uts10                gp*92                gp#88           337            28
         Uts_14A_039                gp*92               gp#107           199            28
               Uts25                gp*92               gp#183           351            28
