offspring,microsat_dam,microsat_sire,snp_dam,snp_sire
UTS_15_0Y_0186,NA,NA,id_miss,id_miss
UTS_15_0Y_0187,NA,NA,id_miss,id_miss
UTS_15_0Y_0188,NA,NA,id_miss,id_miss
UTS_15_0Y_0189,NA,NA,id_miss,id_miss
UTS_15_0Y_0190,NA,NA,id_miss,id_miss
UTS_15_0Y_0191,NA,NA,id_miss,id_miss
UTS_15_0Y_0192,NA,NA,id_miss,id_miss
UTS_15_0Y_0194,NA,NA,id_miss,id_miss
UTS_15_0Y_0195,NA,NA,id_miss,id_miss
UTS_15_0Y_0196,NA,NA,id_miss,id_miss
UTS_15_0Y_0197,NA,NA,id_miss,id_miss
UTS_15_0Y_0198,NA,NA,id_miss,id_miss
UTS_15_0Y_0199,NA,NA,id_miss,id_miss
UTS_15_0Y_0201,NA,NA,id_miss,id_miss
UTS_15_0Y_0202,NA,NA,id_miss,id_miss
UTS_15_0Y_0203,NA,NA,id_miss,id_miss
UTS_15_0Y_0204,NA,NA,id_miss,id_miss
UTS_15_0Y_0205,NA,NA,id_miss,id_miss
UTS_15_0Y_0206,NA,NA,id_miss,id_miss
UTS_15_0Y_0207,NA,NA,id_miss,id_miss
UTS_15_0Y_0208,NA,NA,id_miss,id_miss
UTS_15_0Y_0209,NA,NA,id_miss,id_miss
UTS_15_0Y_0210,NA,NA,id_miss,id_miss
UTS_15_0Y_0211,NA,NA,id_miss,id_miss
UTS_15_0Y_0212,NA,NA,id_miss,id_miss
UTS_15_0Y_0213,NA,NA,id_miss,id_miss
UTS_15_0Y_0214,NA,NA,id_miss,id_miss
UTS_15_0Y_0215,NA,NA,id_miss,id_miss
UTS_15_0Y_0216,NA,NA,id_miss,id_miss
UTS_15_0Y_0217,NA,NA,id_miss,id_miss
UTS_15_0Y_0218,NA,NA,id_miss,id_miss
UTS_15_0Y_0219,NA,NA,id_miss,id_miss
UTS_15_0Y_0220,NA,NA,id_miss,id_miss
UTS_15_0Y_0221,NA,NA,id_miss,id_miss
UTS_15_0Y_0222,NA,NA,id_miss,id_miss
UTS_15_0Y_0223,NA,NA,id_miss,id_miss
UTS_15_0Y_0224,NA,NA,id_miss,id_miss
UTS_15_0Y_0225,NA,NA,id_miss,id_miss
UTS_15_0Y_0226,NA,NA,id_miss,id_miss
UTS_15_0Y_0227,NA,NA,id_miss,id_miss
UTS_15_0Y_0228,NA,NA,id_miss,id_miss
UTS_15_0Y_0229,NA,NA,id_miss,id_miss
UTS_15_0Y_0230,NA,NA,id_miss,id_miss
UTS_15_0Y_0231,NA,NA,id_miss,id_miss
UTS_15_0Y_0232,NA,NA,id_miss,id_miss
UTS_15_0Y_0233,NA,NA,id_miss,id_miss
UTS_15_0Y_0234,NA,NA,id_miss,id_miss
UTS_15_0Y_0235,NA,NA,id_miss,id_miss
UTS_15_0Y_0236,NA,NA,id_miss,id_miss
UTS_15_0Y_0237,NA,NA,id_miss,id_miss
UTS_15_0Y_0238,NA,NA,id_miss,id_miss
UTS_15_0Y_0239,NA,NA,id_miss,id_miss
UTS_15_0Y_0240,NA,NA,id_miss,id_miss
UTS_15_0Y_0241,NA,NA,id_miss,id_miss
UTS_15_0Y_0242,NA,NA,id_miss,id_miss
UTS_15_0Y_0243,NA,NA,id_miss,id_miss
UTS_15_0Y_0244,NA,NA,id_miss,id_miss
UTS_15_0Y_0245,NA,NA,id_miss,id_miss
UTS_15_0Y_0246,NA,NA,id_miss,id_miss
UTS_15_0Y_0247,NA,NA,id_miss,id_miss
UTS_15_0Y_0248,NA,NA,id_miss,id_miss
UTS_15_0Y_0249,NA,NA,id_miss,id_miss
UTS_15_0Y_0250,NA,NA,id_miss,id_miss
UTS_15_0Y_0251,NA,NA,id_miss,id_miss
UTS_15_0Y_0252,NA,NA,id_miss,id_miss
UTS_15_0Y_0253,NA,NA,id_miss,id_miss
UTS_15_0Y_0254,NA,NA,id_miss,id_miss
UTS_15_0Y_0255,NA,NA,id_miss,id_miss
UTS_15_0Y_0256,NA,NA,id_miss,id_miss
UTS_15_0Y_0257,NA,NA,id_miss,id_miss
UTS_15_0Y_0258,NA,NA,id_miss,id_miss
UTS_15_0Y_0259,NA,NA,id_miss,id_miss
UTS_15_0Y_0260,NA,NA,id_miss,id_miss
UTS_15_0Y_0261,NA,NA,id_miss,id_miss
UTS_15_0Y_0262,NA,NA,id_miss,id_miss
UTS_15_0Y_0263,NA,NA,id_miss,id_miss
UTS_15_0Y_0264,NA,NA,id_miss,id_miss
UTS_15_0Y_0265,NA,NA,id_miss,id_miss
UTS_15_0Y_0266,NA,NA,id_miss,id_miss
UTS_15_0Y_0267,NA,NA,id_miss,id_miss
UTS_15_0Y_0268,NA,NA,id_miss,id_miss
UTS_15_0Y_0269,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0270,NA,NA,id_miss,id_miss
UTS_15_0Y_0271,NA,NA,id_miss,id_miss
UTS_15_0Y_0272,NA,NA,id_miss,id_miss
UTS_15_0Y_0273,NA,NA,id_miss,id_miss
UTS_15_0Y_0274,NA,NA,id_miss,id_miss
UTS_15_0Y_0275,NA,NA,id_miss,id_miss
UTS_15_0Y_0276,NA,NA,id_miss,id_miss
UTS_15_0Y_0277,NA,NA,id_miss,id_miss
UTS_15_0Y_0278,NA,NA,id_miss,id_miss
UTS_15_0Y_0279,UTS_14A_107,NA,id_miss,id_miss
UTS_15_0Y_0280,NA,NA,id_miss,id_miss
UTS_15_0Y_0282,NA,NA,id_miss,id_miss
UTS_15_0Y_0283,NA,UTS_14A_003,id_miss,id_miss
UTS_15_0Y_0284,NA,NA,id_miss,id_miss
UTS_15_0Y_0285,NA,NA,id_miss,id_miss
UTS_15_0Y_0286,NA,NA,id_miss,id_miss
UTS_15_0Y_0287,NA,NA,id_miss,id_miss
UTS_15_0Y_0289,NA,NA,id_miss,id_miss
UTS_15_0Y_0290,NA,NA,id_miss,id_miss
UTS_15_0Y_0291,NA,UTS_14A_021,id_miss,id_miss
UTS_15_0Y_0292,NA,NA,id_miss,id_miss
UTS_15_0Y_0293,NA,NA,id_miss,id_miss
UTS_15_0Y_0294,NA,NA,id_miss,id_miss
UTS_15_0Y_0295,NA,NA,id_miss,id_miss
UTS_15_0Y_0296,NA,NA,id_miss,id_miss
